disease,resistance_gene_count,susceptibility_gene_count,evidence_strength_score,temperature,humidity,soil_moisture,light,risk_level,risk_score
Early Blight,0,0,0.0,16.2,80.6,27.0,619.3,moderate,46.0
Late Blight,2,0,-1.6,16.2,80.6,27.0,619.3,moderate,44.0
Fusarium Wilt,1,0,-1.0,16.2,80.6,27.0,619.3,low,28.0
Bacterial Spot,2,0,-1.6,16.2,80.6,27.0,619.3,low,16.0
Early Blight,0,0,0.0,15.3,67.5,79.0,464.3,low,34.0
Late Blight,1,0,-1.0,15.3,67.5,79.0,464.3,low,28.0
Fusarium Wilt,1,0,-1.0,15.3,67.5,79.0,464.3,low,28.0
Bacterial Spot,1,0,-0.6,15.3,67.5,79.0,464.3,low,28.0
Early Blight,1,0,-0.6,23.8,90.3,20.4,916.8,moderate,56.0
Late Blight,0,0,0.0,23.8,90.3,20.4,916.8,moderate,62.0
Fusarium Wilt,1,0,-1.0,23.8,90.3,20.4,916.8,low,28.0
Bacterial Spot,0,0,0.0,23.8,90.3,20.4,916.8,moderate,46.0
Early Blight,0,0,0.0,16.7,67.2,37.4,897.9,low,34.0
Late Blight,1,0,-1.0,16.7,67.2,37.4,897.9,low,28.0
Fusarium Wilt,2,0,-2.0,16.7,67.2,37.4,897.9,low,28.0
Bacterial Spot,1,0,-0.6,16.7,67.2,37.4,897.9,low,28.0
Early Blight,0,0,0.0,35.2,88.0,82.5,1172.6,moderate,46.0
Late Blight,1,0,-1.0,35.2,88.0,82.5,1172.6,low,28.0
Fusarium Wilt,1,0,-1.0,35.2,88.0,82.5,1172.6,low,28.0
Bacterial Spot,1,0,-1.0,35.2,88.0,82.5,1172.6,low,28.0
Early Blight,1,0,-0.6,26.6,31.5,57.9,866.4,moderate,40.0
Late Blight,1,0,-1.0,26.6,31.5,57.9,866.4,low,16.0
Fusarium Wilt,0,0,0.0,26.6,31.5,57.9,866.4,moderate,46.0
Bacterial Spot,1,0,-0.6,26.6,31.5,57.9,866.4,moderate,40.0
Early Blight,0,0,0.0,30.7,89.2,87.7,282.1,moderate,46.0
Late Blight,1,0,-1.0,30.7,89.2,87.7,282.1,low,28.0
Fusarium Wilt,2,0,-2.0,30.7,89.2,87.7,282.1,moderate,44.0
Bacterial Spot,2,0,-1.6,30.7,89.2,87.7,282.1,low,28.0
Early Blight,1,0,-0.6,20.0,77.4,80.3,969.7,moderate,56.0
Late Blight,0,0,0.0,20.0,77.4,80.3,969.7,moderate,62.0
Fusarium Wilt,2,0,-2.0,20.0,77.4,80.3,969.7,low,28.0
Bacterial Spot,0,0,0.0,20.0,77.4,80.3,969.7,low,34.0
Early Blight,1,0,-0.6,18.9,33.1,29.1,143.0,low,28.0
Late Blight,0,0,0.0,18.9,33.1,29.1,143.0,moderate,46.0
Fusarium Wilt,1,0,-1.0,18.9,33.1,29.1,143.0,low,16.0
Bacterial Spot,1,0,-0.6,18.9,33.1,29.1,143.0,low,28.0
Early Blight,0,0,0.0,33.9,66.4,10.1,482.2,low,34.0
Late Blight,2,0,-1.6,33.9,66.4,10.1,482.2,low,16.0
Fusarium Wilt,0,0,0.0,33.9,66.4,10.1,482.2,moderate,62.0
Bacterial Spot,1,0,-0.6,33.9,66.4,10.1,482.2,low,28.0
Early Blight,0,0,0.0,29.1,52.1,14.6,997.5,moderate,46.0
Late Blight,1,0,-1.0,29.1,52.1,14.6,997.5,low,16.0
Fusarium Wilt,1,0,-1.0,29.1,52.1,14.6,997.5,moderate,44.0
Bacterial Spot,0,0,0.0,29.1,52.1,14.6,997.5,moderate,46.0
Early Blight,1,0,-0.6,32.9,83.1,18.5,920.3,moderate,40.0
Late Blight,0,0,0.0,32.9,83.1,18.5,920.3,moderate,46.0
Fusarium Wilt,0,0,0.0,32.9,83.1,18.5,920.3,moderate,62.0
Bacterial Spot,1,0,-0.6,32.9,83.1,18.5,920.3,low,28.0
Early Blight,1,0,-0.6,21.2,69.6,74.6,928.2,moderate,40.0
Late Blight,1,0,-1.0,21.2,69.6,74.6,928.2,low,28.0
Fusarium Wilt,1,0,-1.0,21.2,69.6,74.6,928.2,low,28.0
Bacterial Spot,2,0,-1.6,21.2,69.6,74.6,928.2,low,16.0
Early Blight,0,0,0.0,19.3,88.6,25.1,639.6,moderate,46.0
Late Blight,1,0,-0.6,19.3,88.6,25.1,639.6,moderate,56.0
Fusarium Wilt,2,0,-2.0,19.3,88.6,25.1,639.6,low,28.0
Bacterial Spot,1,0,-1.0,19.3,88.6,25.1,639.6,low,28.0
Early Blight,0,0,0.0,16.6,34.9,29.6,1100.0,low,34.0
Late Blight,1,0,-1.0,16.6,34.9,29.6,1100.0,low,28.0
Fusarium Wilt,0,0,0.0,16.6,34.9,29.6,1100.0,low,34.0
Bacterial Spot,1,0,-0.6,16.6,34.9,29.6,1100.0,low,28.0
Early Blight,1,0,-0.6,15.5,86.2,71.1,808.9,moderate,40.0
Late Blight,2,0,-1.6,15.5,86.2,71.1,808.9,moderate,44.0
Fusarium Wilt,1,0,-1.0,15.5,86.2,71.1,808.9,low,28.0
Bacterial Spot,1,0,-1.0,15.5,86.2,71.1,808.9,low,28.0
Early Blight,0,0,0.0,37.0,37.2,68.9,472.2,low,34.0
Late Blight,2,0,-1.6,37.0,37.2,68.9,472.2,low,16.0
Fusarium Wilt,1,0,-1.0,37.0,37.2,68.9,472.2,low,16.0
Bacterial Spot,2,0,-1.6,37.0,37.2,68.9,472.2,low,16.0
Early Blight,1,0,-0.6,18.6,33.8,65.4,790.2,low,28.0
Late Blight,1,0,-0.6,18.6,33.8,65.4,790.2,moderate,40.0
Fusarium Wilt,1,0,-1.0,18.6,33.8,65.4,790.2,low,16.0
Bacterial Spot,1,0,-0.6,18.6,33.8,65.4,790.2,low,28.0
Early Blight,0,0,0.0,36.0,31.6,44.2,262.1,low,34.0
Late Blight,1,0,-1.0,36.0,31.6,44.2,262.1,low,16.0
Fusarium Wilt,1,0,-1.0,36.0,31.6,44.2,262.1,low,16.0
Bacterial Spot,1,0,-0.6,36.0,31.6,44.2,262.1,low,28.0
Early Blight,1,0,-0.6,18.9,37.5,18.1,1151.4,low,28.0
Late Blight,1,0,-0.6,18.9,37.5,18.1,1151.4,moderate,40.0
Fusarium Wilt,0,0,0.0,18.9,37.5,18.1,1151.4,low,34.0
Bacterial Spot,0,0,0.0,18.9,37.5,18.1,1151.4,low,34.0
Early Blight,1,0,-0.6,19.1,66.1,58.0,847.4,low,28.0
Late Blight,1,0,-0.6,19.1,66.1,58.0,847.4,moderate,40.0
Fusarium Wilt,1,0,-1.0,19.1,66.1,58.0,847.4,low,28.0
Bacterial Spot,1,0,-1.0,19.1,66.1,58.0,847.4,low,16.0
Early Blight,1,0,-0.6,30.2,93.4,74.9,882.4,moderate,40.0
Late Blight,1,0,-1.0,30.2,93.4,74.9,882.4,low,28.0
Fusarium Wilt,1,0,-1.0,30.2,93.4,74.9,882.4,moderate,44.0
Bacterial Spot,2,0,-1.6,30.2,93.4,74.9,882.4,low,28.0
Early Blight,0,0,0.0,31.6,83.4,48.3,174.0,moderate,46.0
Late Blight,1,0,-0.6,31.6,83.4,48.3,174.0,moderate,40.0
Fusarium Wilt,1,0,-1.0,31.6,83.4,48.3,174.0,moderate,44.0
Bacterial Spot,2,0,-1.6,31.6,83.4,48.3,174.0,low,16.0
Early Blight,0,0,0.0,22.3,58.8,65.5,555.3,moderate,46.0
Late Blight,1,0,-1.0,22.3,58.8,65.5,555.3,low,28.0
Fusarium Wilt,1,0,-1.0,22.3,58.8,65.5,555.3,low,28.0
Bacterial Spot,2,0,-1.6,22.3,58.8,65.5,555.3,low,16.0
Early Blight,0,0,0.0,27.3,66.2,75.7,523.1,moderate,46.0
Late Blight,1,0,-1.0,27.3,66.2,75.7,523.1,low,16.0
Fusarium Wilt,0,0,0.0,27.3,66.2,75.7,523.1,moderate,62.0
Bacterial Spot,1,0,-0.6,27.3,66.2,75.7,523.1,moderate,40.0
Early Blight,0,0,0.0,15.1,97.6,11.4,714.2,moderate,46.0
Late Blight,1,0,-0.6,15.1,97.6,11.4,714.2,moderate,56.0
Fusarium Wilt,1,0,-1.0,15.1,97.6,11.4,714.2,low,28.0
Bacterial Spot,0,0,0.0,15.1,97.6,11.4,714.2,moderate,46.0
Early Blight,0,0,0.0,21.8,39.8,78.3,1169.0,moderate,46.0
Late Blight,1,0,-1.0,21.8,39.8,78.3,1169.0,low,28.0
Fusarium Wilt,2,0,-2.0,21.8,39.8,78.3,1169.0,low,16.0
Bacterial Spot,0,0,0.0,21.8,39.8,78.3,1169.0,low,34.0
Early Blight,0,0,0.0,23.7,31.8,87.2,508.9,moderate,46.0
Late Blight,1,0,-0.6,23.7,31.8,87.2,508.9,moderate,40.0
Fusarium Wilt,0,0,0.0,23.7,31.8,87.2,508.9,low,34.0
Bacterial Spot,2,0,-1.6,23.7,31.8,87.2,508.9,low,16.0
Early Blight,1,0,-0.6,16.8,35.2,55.5,995.1,low,28.0
Late Blight,1,0,-1.0,16.8,35.2,55.5,995.1,low,28.0
Fusarium Wilt,0,0,0.0,16.8,35.2,55.5,995.1,low,34.0
Bacterial Spot,2,0,-1.6,16.8,35.2,55.5,995.1,low,16.0
Early Blight,1,0,-0.6,22.8,83.1,65.6,415.4,moderate,56.0
Late Blight,1,0,-0.6,22.8,83.1,65.6,415.4,moderate,56.0
Fusarium Wilt,0,0,0.0,22.8,83.1,65.6,415.4,moderate,46.0
Bacterial Spot,1,0,-1.0,22.8,83.1,65.6,415.4,low,16.0
Early Blight,0,0,0.0,30.6,89.6,54.3,1012.5,moderate,46.0
Late Blight,0,0,0.0,30.6,89.6,54.3,1012.5,moderate,46.0
Fusarium Wilt,2,0,-2.0,30.6,89.6,54.3,1012.5,moderate,44.0
Bacterial Spot,0,0,0.0,30.6,89.6,54.3,1012.5,moderate,46.0
Early Blight,1,0,-0.6,37.5,38.5,26.9,780.9,low,28.0
Late Blight,1,0,-1.0,37.5,38.5,26.9,780.9,low,16.0
Fusarium Wilt,0,0,0.0,37.5,38.5,26.9,780.9,low,34.0
Bacterial Spot,1,0,-0.6,37.5,38.5,26.9,780.9,low,28.0
Early Blight,0,0,0.0,22.2,73.6,76.2,281.3,moderate,62.0
Late Blight,1,0,-0.6,22.2,73.6,76.2,281.3,moderate,40.0
Fusarium Wilt,2,0,-2.0,22.2,73.6,76.2,281.3,low,28.0
Bacterial Spot,0,0,0.0,22.2,73.6,76.2,281.3,low,34.0
Early Blight,0,0,0.0,15.6,49.2,53.3,171.9,low,34.0
Late Blight,1,0,-0.6,15.6,49.2,53.3,171.9,moderate,40.0
Fusarium Wilt,0,0,0.0,15.6,49.2,53.3,171.9,moderate,46.0
Bacterial Spot,2,0,-1.6,15.6,49.2,53.3,171.9,low,16.0
Early Blight,1,0,-0.6,37.5,68.4,55.1,969.2,low,28.0
Late Blight,1,0,-1.0,37.5,68.4,55.1,969.2,low,16.0
Fusarium Wilt,2,0,-2.0,37.5,68.4,55.1,969.2,low,28.0
Bacterial Spot,2,0,-1.6,37.5,68.4,55.1,969.2,low,16.0
Early Blight,0,0,0.0,19.5,81.1,68.1,1171.2,moderate,46.0
Late Blight,2,0,-1.6,19.5,81.1,68.1,1171.2,moderate,44.0
Fusarium Wilt,1,0,-1.0,19.5,81.1,68.1,1171.2,low,28.0
Bacterial Spot,1,0,-0.6,19.5,81.1,68.1,1171.2,low,28.0
Early Blight,1,0,-0.6,28.5,56.0,56.9,1037.2,moderate,40.0
Late Blight,2,0,-1.6,28.5,56.0,56.9,1037.2,low,16.0
Fusarium Wilt,1,0,-1.0,28.5,56.0,56.9,1037.2,moderate,44.0
Bacterial Spot,0,0,0.0,28.5,56.0,56.9,1037.2,moderate,46.0
Early Blight,0,0,0.0,33.6,74.5,71.5,277.2,moderate,46.0
Late Blight,0,0,0.0,33.6,74.5,71.5,277.2,low,34.0
Fusarium Wilt,0,0,0.0,33.6,74.5,71.5,277.2,moderate,62.0
Bacterial Spot,1,0,-1.0,33.6,74.5,71.5,277.2,low,16.0
Early Blight,0,0,0.0,22.8,54.5,78.5,574.0,moderate,46.0
Late Blight,1,0,-0.6,22.8,54.5,78.5,574.0,moderate,40.0
Fusarium Wilt,1,0,-1.0,22.8,54.5,78.5,574.0,low,28.0
Bacterial Spot,2,0,-1.6,22.8,54.5,78.5,574.0,low,16.0
Early Blight,0,0,0.0,29.4,63.8,74.4,256.9,moderate,46.0
Late Blight,0,0,0.0,29.4,63.8,74.4,256.9,low,34.0
Fusarium Wilt,1,0,-1.0,29.4,63.8,74.4,256.9,moderate,44.0
Bacterial Spot,2,0,-1.6,29.4,63.8,74.4,256.9,low,28.0
Early Blight,1,0,-0.6,36.5,41.0,32.4,499.7,low,28.0
Late Blight,1,0,-1.0,36.5,41.0,32.4,499.7,low,16.0
Fusarium Wilt,2,0,-2.0,36.5,41.0,32.4,499.7,low,28.0
Bacterial Spot,1,0,-1.0,36.5,41.0,32.4,499.7,low,16.0
Early Blight,1,0,-0.6,30.0,39.6,19.9,725.6,moderate,40.0
Late Blight,1,0,-0.6,30.0,39.6,19.9,725.6,low,28.0
Fusarium Wilt,0,0,0.0,30.0,39.6,19.9,725.6,moderate,46.0
Bacterial Spot,2,0,-1.6,30.0,39.6,19.9,725.6,low,28.0
Early Blight,0,0,0.0,34.4,94.7,39.9,850.4,moderate,46.0
Late Blight,1,0,-1.0,34.4,94.7,39.9,850.4,low,28.0
Fusarium Wilt,0,0,0.0,34.4,94.7,39.9,850.4,moderate,62.0
Bacterial Spot,0,0,0.0,34.4,94.7,39.9,850.4,moderate,46.0
Early Blight,1,0,-0.6,20.6,85.8,10.6,1038.4,moderate,56.0
Late Blight,2,0,-1.6,20.6,85.8,10.6,1038.4,moderate,44.0
Fusarium Wilt,2,0,-2.0,20.6,85.8,10.6,1038.4,low,28.0
Bacterial Spot,2,0,-1.6,20.6,85.8,10.6,1038.4,low,28.0
Early Blight,1,0,-0.6,25.7,73.7,82.0,611.3,moderate,56.0
Late Blight,0,0,0.0,25.7,73.7,82.0,611.3,low,34.0
Fusarium Wilt,0,0,0.0,25.7,73.7,82.0,611.3,moderate,62.0
Bacterial Spot,2,0,-1.6,25.7,73.7,82.0,611.3,low,28.0
Early Blight,1,0,-0.6,22.3,97.8,48.9,872.5,moderate,56.0
Late Blight,2,0,-1.6,22.3,97.8,48.9,872.5,moderate,44.0
Fusarium Wilt,2,0,-2.0,22.3,97.8,48.9,872.5,low,28.0
Bacterial Spot,1,0,-0.6,22.3,97.8,48.9,872.5,moderate,40.0
Early Blight,1,0,-0.6,15.7,70.9,40.4,1130.1,moderate,40.0
Late Blight,2,0,-1.6,15.7,70.9,40.4,1130.1,low,28.0
Fusarium Wilt,1,0,-1.0,15.7,70.9,40.4,1130.1,low,28.0
Bacterial Spot,0,0,0.0,15.7,70.9,40.4,1130.1,low,34.0
Early Blight,1,0,-0.6,21.2,73.2,16.7,176.2,moderate,56.0
Late Blight,1,0,-1.0,21.2,73.2,16.7,176.2,low,28.0
Fusarium Wilt,0,0,0.0,21.2,73.2,16.7,176.2,moderate,46.0
Bacterial Spot,1,0,-0.6,21.2,73.2,16.7,176.2,low,28.0
Early Blight,0,0,0.0,34.1,36.3,82.1,476.2,low,34.0
Late Blight,2,0,-1.6,34.1,36.3,82.1,476.2,low,16.0
Fusarium Wilt,2,0,-2.0,34.1,36.3,82.1,476.2,low,28.0
Bacterial Spot,1,0,-0.6,34.1,36.3,82.1,476.2,low,28.0
Early Blight,1,0,-0.6,31.0,54.1,65.4,528.1,low,28.0
Late Blight,0,0,0.0,31.0,54.1,65.4,528.1,low,34.0
Fusarium Wilt,1,0,-1.0,31.0,54.1,65.4,528.1,moderate,44.0
Bacterial Spot,1,0,-0.6,31.0,54.1,65.4,528.1,low,28.0
Early Blight,1,0,-0.6,37.7,93.8,69.4,910.4,moderate,40.0
Late Blight,2,0,-1.6,37.7,93.8,69.4,910.4,low,28.0
Fusarium Wilt,1,0,-1.0,37.7,93.8,69.4,910.4,low,28.0
Bacterial Spot,1,0,-1.0,37.7,93.8,69.4,910.4,low,28.0
Early Blight,0,0,0.0,24.3,65.4,10.3,595.6,moderate,46.0
Late Blight,2,0,-1.6,24.3,65.4,10.3,595.6,low,16.0
Fusarium Wilt,1,0,-1.0,24.3,65.4,10.3,595.6,low,28.0
Bacterial Spot,1,0,-1.0,24.3,65.4,10.3,595.6,low,28.0
Early Blight,1,0,-0.6,24.7,67.1,23.3,515.3,moderate,40.0
Late Blight,0,0,0.0,24.7,67.1,23.3,515.3,low,34.0
Fusarium Wilt,1,0,-1.0,24.7,67.1,23.3,515.3,low,28.0
Bacterial Spot,1,0,-0.6,24.7,67.1,23.3,515.3,moderate,40.0
Early Blight,0,0,0.0,35.6,64.1,79.4,869.2,low,34.0
Late Blight,2,0,-1.6,35.6,64.1,79.4,869.2,low,16.0
Fusarium Wilt,1,0,-1.0,35.6,64.1,79.4,869.2,low,28.0
Bacterial Spot,0,0,0.0,35.6,64.1,79.4,869.2,low,34.0
Early Blight,0,0,0.0,17.6,42.0,44.3,294.6,low,34.0
Late Blight,1,0,-0.6,17.6,42.0,44.3,294.6,moderate,40.0
Fusarium Wilt,0,0,0.0,17.6,42.0,44.3,294.6,moderate,46.0
Bacterial Spot,2,0,-1.6,17.6,42.0,44.3,294.6,low,16.0
Early Blight,0,0,0.0,29.3,92.9,78.6,1194.9,moderate,62.0
Late Blight,1,0,-1.0,29.3,92.9,78.6,1194.9,low,28.0
Fusarium Wilt,1,0,-1.0,29.3,92.9,78.6,1194.9,moderate,44.0
Bacterial Spot,1,0,-1.0,29.3,92.9,78.6,1194.9,moderate,44.0
Early Blight,1,0,-0.6,36.3,36.8,45.5,739.4,low,28.0
Late Blight,2,0,-1.6,36.3,36.8,45.5,739.4,low,16.0
Fusarium Wilt,2,0,-2.0,36.3,36.8,45.5,739.4,low,16.0
Bacterial Spot,2,0,-1.6,36.3,36.8,45.5,739.4,low,16.0
Early Blight,1,0,-0.6,25.8,38.5,87.4,1105.4,moderate,40.0
Late Blight,0,0,0.0,25.8,38.5,87.4,1105.4,low,34.0
Fusarium Wilt,1,0,-1.0,25.8,38.5,87.4,1105.4,low,28.0
Bacterial Spot,2,0,-1.6,25.8,38.5,87.4,1105.4,low,28.0
Early Blight,0,0,0.0,21.5,89.8,31.2,1022.3,moderate,62.0
Late Blight,2,0,-1.6,21.5,89.8,31.2,1022.3,moderate,44.0
Fusarium Wilt,1,0,-1.0,21.5,89.8,31.2,1022.3,low,28.0
Bacterial Spot,2,0,-1.6,21.5,89.8,31.2,1022.3,low,28.0
Early Blight,1,0,-0.6,23.6,85.5,75.6,759.9,moderate,56.0
Late Blight,0,0,0.0,23.6,85.5,75.6,759.9,moderate,62.0
Fusarium Wilt,1,0,-1.0,23.6,85.5,75.6,759.9,low,28.0
Bacterial Spot,1,0,-1.0,23.6,85.5,75.6,759.9,low,28.0
Early Blight,0,0,0.0,34.1,84.5,56.2,241.8,moderate,46.0
Late Blight,1,0,-0.6,34.1,84.5,56.2,241.8,moderate,40.0
Fusarium Wilt,0,0,0.0,34.1,84.5,56.2,241.8,moderate,62.0
Bacterial Spot,2,0,-1.6,34.1,84.5,56.2,241.8,low,16.0
Early Blight,0,0,0.0,33.4,64.3,60.5,962.7,low,34.0
Late Blight,1,0,-0.6,33.4,64.3,60.5,962.7,low,28.0
Fusarium Wilt,0,0,0.0,33.4,64.3,60.5,962.7,moderate,62.0
Bacterial Spot,2,0,-1.6,33.4,64.3,60.5,962.7,low,16.0
Early Blight,0,0,0.0,25.1,72.8,57.5,130.6,moderate,62.0
Late Blight,1,0,-0.6,25.1,72.8,57.5,130.6,low,28.0
Fusarium Wilt,1,0,-1.0,25.1,72.8,57.5,130.6,moderate,44.0
Bacterial Spot,2,0,-1.6,25.1,72.8,57.5,130.6,low,28.0
Early Blight,1,0,-0.6,29.5,54.4,29.2,1087.7,moderate,40.0
Late Blight,1,0,-0.6,29.5,54.4,29.2,1087.7,low,28.0
Fusarium Wilt,0,0,0.0,29.5,54.4,29.2,1087.7,moderate,62.0
Bacterial Spot,0,0,0.0,29.5,54.4,29.2,1087.7,moderate,46.0
Early Blight,0,0,0.0,21.3,93.6,60.2,802.2,moderate,62.0
Late Blight,2,0,-1.6,21.3,93.6,60.2,802.2,moderate,44.0
Fusarium Wilt,1,0,-1.0,21.3,93.6,60.2,802.2,low,28.0
Bacterial Spot,1,0,-1.0,21.3,93.6,60.2,802.2,low,28.0
Early Blight,1,0,-0.6,17.1,63.6,38.9,1022.1,low,28.0
Late Blight,2,0,-1.6,17.1,63.6,38.9,1022.1,low,28.0
Fusarium Wilt,1,0,-1.0,17.1,63.6,38.9,1022.1,low,28.0
Bacterial Spot,1,0,-1.0,17.1,63.6,38.9,1022.1,low,16.0
Early Blight,1,0,-0.6,23.6,51.3,82.7,989.4,moderate,40.0
Late Blight,2,0,-1.6,23.6,51.3,82.7,989.4,low,28.0
Fusarium Wilt,0,0,0.0,23.6,51.3,82.7,989.4,moderate,46.0
Bacterial Spot,1,0,-1.0,23.6,51.3,82.7,989.4,low,16.0
Early Blight,1,0,-0.6,37.9,62.9,59.1,701.1,low,28.0
Late Blight,0,0,0.0,37.9,62.9,59.1,701.1,low,34.0
Fusarium Wilt,2,0,-2.0,37.9,62.9,59.1,701.1,low,28.0
Bacterial Spot,1,0,-1.0,37.9,62.9,59.1,701.1,low,16.0
Early Blight,1,0,-0.6,18.5,88.9,19.2,338.7,moderate,40.0
Late Blight,1,0,-1.0,18.5,88.9,19.2,338.7,moderate,44.0
Fusarium Wilt,1,0,-1.0,18.5,88.9,19.2,338.7,low,28.0
Bacterial Spot,1,0,-1.0,18.5,88.9,19.2,338.7,low,28.0
Early Blight,1,0,-0.6,23.0,67.5,33.5,919.7,moderate,40.0
Late Blight,1,0,-0.6,23.0,67.5,33.5,919.7,moderate,40.0
Fusarium Wilt,2,0,-2.0,23.0,67.5,33.5,919.7,low,28.0
Bacterial Spot,0,0,0.0,23.0,67.5,33.5,919.7,low,34.0
Early Blight,1,0,-0.6,21.5,56.7,56.7,943.1,moderate,40.0
Late Blight,0,0,0.0,21.5,56.7,56.7,943.1,moderate,46.0
Fusarium Wilt,1,0,-1.0,21.5,56.7,56.7,943.1,low,28.0
Bacterial Spot,1,0,-1.0,21.5,56.7,56.7,943.1,low,16.0
Early Blight,0,0,0.0,33.8,72.4,58.6,572.2,moderate,46.0
Late Blight,1,0,-1.0,33.8,72.4,58.6,572.2,low,16.0
Fusarium Wilt,2,0,-2.0,33.8,72.4,58.6,572.2,moderate,44.0
Bacterial Spot,1,0,-1.0,33.8,72.4,58.6,572.2,low,16.0
Early Blight,0,0,0.0,28.5,50.0,76.1,809.6,moderate,46.0
Late Blight,2,0,-1.6,28.5,50.0,76.1,809.6,low,16.0
Fusarium Wilt,2,0,-2.0,28.5,50.0,76.1,809.6,moderate,44.0
Bacterial Spot,1,0,-0.6,28.5,50.0,76.1,809.6,moderate,40.0
Early Blight,1,0,-0.6,16.7,74.7,39.8,957.5,moderate,40.0
Late Blight,2,0,-1.6,16.7,74.7,39.8,957.5,low,28.0
Fusarium Wilt,2,0,-2.0,16.7,74.7,39.8,957.5,low,28.0
Bacterial Spot,0,0,0.0,16.7,74.7,39.8,957.5,low,34.0
Early Blight,1,0,-0.6,27.9,56.2,58.1,680.0,moderate,40.0
Late Blight,1,0,-1.0,27.9,56.2,58.1,680.0,low,16.0
Fusarium Wilt,0,0,0.0,27.9,56.2,58.1,680.0,moderate,62.0
Bacterial Spot,1,0,-1.0,27.9,56.2,58.1,680.0,low,28.0
Early Blight,1,0,-0.6,24.7,81.4,35.4,452.1,moderate,56.0
Late Blight,1,0,-0.6,24.7,81.4,35.4,452.1,moderate,40.0
Fusarium Wilt,1,0,-1.0,24.7,81.4,35.4,452.1,low,28.0
Bacterial Spot,2,0,-1.6,24.7,81.4,35.4,452.1,low,28.0
Early Blight,0,0,0.0,22.5,56.0,56.1,413.5,moderate,46.0
Late Blight,0,0,0.0,22.5,56.0,56.1,413.5,moderate,46.0
Fusarium Wilt,1,0,-1.0,22.5,56.0,56.1,413.5,low,28.0
Bacterial Spot,1,0,-0.6,22.5,56.0,56.1,413.5,low,28.0
Early Blight,1,0,-0.6,35.6,92.4,13.1,809.3,moderate,40.0
Late Blight,1,0,-1.0,35.6,92.4,13.1,809.3,low,28.0
Fusarium Wilt,1,0,-1.0,35.6,92.4,13.1,809.3,low,28.0
Bacterial Spot,1,0,-0.6,35.6,92.4,13.1,809.3,moderate,40.0
Early Blight,0,0,0.0,27.8,51.3,59.0,532.7,moderate,46.0
Late Blight,1,0,-1.0,27.8,51.3,59.0,532.7,low,16.0
Fusarium Wilt,1,0,-1.0,27.8,51.3,59.0,532.7,moderate,44.0
Bacterial Spot,1,0,-1.0,27.8,51.3,59.0,532.7,low,28.0
Early Blight,1,0,-0.6,15.7,33.3,10.8,215.6,low,28.0
Late Blight,1,0,-0.6,15.7,33.3,10.8,215.6,moderate,40.0
Fusarium Wilt,2,0,-2.0,15.7,33.3,10.8,215.6,low,16.0
Bacterial Spot,1,0,-0.6,15.7,33.3,10.8,215.6,low,28.0
Early Blight,1,0,-0.6,35.8,97.3,84.7,1054.8,moderate,40.0
Late Blight,1,0,-0.6,35.8,97.3,84.7,1054.8,moderate,40.0
Fusarium Wilt,1,0,-1.0,35.8,97.3,84.7,1054.8,low,28.0
Bacterial Spot,1,0,-1.0,35.8,97.3,84.7,1054.8,low,28.0
Early Blight,1,0,-0.6,33.7,48.4,23.6,251.5,low,28.0
Late Blight,1,0,-1.0,33.7,48.4,23.6,251.5,low,16.0
Fusarium Wilt,0,0,0.0,33.7,48.4,23.6,251.5,moderate,62.0
Bacterial Spot,1,0,-0.6,33.7,48.4,23.6,251.5,low,28.0
Early Blight,0,0,0.0,25.3,38.3,52.2,735.7,moderate,46.0
Late Blight,1,0,-0.6,25.3,38.3,52.2,735.7,low,28.0
Fusarium Wilt,1,0,-1.0,25.3,38.3,52.2,735.7,low,28.0
Bacterial Spot,2,0,-1.6,25.3,38.3,52.2,735.7,low,28.0
Early Blight,0,0,0.0,16.9,68.0,79.8,825.4,low,34.0
Late Blight,2,0,-1.6,16.9,68.0,79.8,825.4,low,28.0
Fusarium Wilt,1,0,-1.0,16.9,68.0,79.8,825.4,low,28.0
Bacterial Spot,2,0,-1.6,16.9,68.0,79.8,825.4,low,16.0
Early Blight,0,0,0.0,33.8,42.8,18.4,329.5,low,34.0
Late Blight,0,0,0.0,33.8,42.8,18.4,329.5,low,34.0
Fusarium Wilt,1,0,-1.0,33.8,42.8,18.4,329.5,moderate,44.0
Bacterial Spot,2,0,-1.6,33.8,42.8,18.4,329.5,low,16.0
Early Blight,0,0,0.0,26.6,92.2,27.5,500.0,moderate,62.0
Late Blight,0,0,0.0,26.6,92.2,27.5,500.0,moderate,46.0
Fusarium Wilt,1,0,-1.0,26.6,92.2,27.5,500.0,moderate,44.0
Bacterial Spot,2,0,-1.6,26.6,92.2,27.5,500.0,moderate,44.0
Early Blight,0,0,0.0,22.1,89.1,61.9,262.0,moderate,62.0
Late Blight,1,0,-0.6,22.1,89.1,61.9,262.0,moderate,56.0
Fusarium Wilt,1,0,-1.0,22.1,89.1,61.9,262.0,low,28.0
Bacterial Spot,1,0,-1.0,22.1,89.1,61.9,262.0,low,28.0
Early Blight,1,0,-0.6,25.4,48.1,84.2,192.5,moderate,40.0
Late Blight,1,0,-1.0,25.4,48.1,84.2,192.5,low,16.0
Fusarium Wilt,1,0,-1.0,25.4,48.1,84.2,192.5,moderate,44.0
Bacterial Spot,2,0,-1.6,25.4,48.1,84.2,192.5,low,28.0
Early Blight,1,0,-0.6,29.9,79.8,43.8,423.4,moderate,56.0
